k,xk,yk,||F||2,||Δx||2
0,1.0000000000000000e+00,0.0000000000000000e+00,3.4572376895453050e+00,5.9866678107292151e+00
1,2.5000000000000000e+00,-5.7957045711476125e+00,3.6242748584583147e+01,2.8815119191903951e+00
2,1.8278220084033703e+00,-2.9936896375597426e+00,8.5964848765445634e+00,1.1880576738450759e+00
3,1.2988415519709564e+00,-1.9298942093430540e+00,1.5914554526775799e+00,3.1997364980314702e-01
4,1.0450776853130623e+00,-1.7349915758380612e+00,1.4927262217800305e-01,4.0442148066748423e-02
5,1.0049922775789222e+00,-1.7296317785433357e+00,2.7852088391545722e-03,8.2321879034608601e-04
6,1.0041690772134464e+00,-1.7296372862705844e+00,1.1469996877148452e-06,3.3873957193893433e-07
7,1.0041687384747164e+00,-1.7296372870258698e+00,1.9399138843612347e-13,0.0000000000000000e+00
